line_number,ground_truth,prediction,cer,wer
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn begirig sind/ so legten sy alle zucht vnd scham vō,0.08333333333333333,0.4166666666666667
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in zuͤ volbungung boͤser dingen/ Sy leben wol hundertt,0.07272727272727272,0.3333333333333333
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn fünffzig iar vnd werden selten kranck/ Vnd ob sy et¬,0.07142857142857142,0.36363636363636365
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,wen in kranckheit fallen so heilen ſy ſich ſelbs mit ettlithē,0.01639344262295082,0.09090909090909091
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,wurtzen der kreüter/ Diß sind die fürmercklichsten dinge,0.05454545454545454,0.375
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,die ich by innen gesehen vnd erkant hab/ Der lufft ist an,0.03508771929824561,0.16666666666666666
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,dem ende gar gesund vnd wol temperieret vn̄ guͤt / End,0.07547169811320754,0.4
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,so vil ich vß yrem ſagen verſton kond vnd erkennen mocht,0.05454545454545454,0.18181818181818182
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,so iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,0.017543859649122806,0.09090909090909091
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,chung die von bösem lufft tümpf/Und wo sy nit vo fre¬,0.16363636363636364,0.4166666666666667
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,felem gezwungenen tod sterben so leben sy by lange zyten,0.125,0.5
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,Ich mein das an de ende alzeit die mittegigen wynd weyende,0.12962962962962962,0.2727272727272727
13,vnd vorab allermeyſt den wir nennen etwan der inen al¬,vnd voraß allermeyst den wir nennen etwan der inen al¬,0.037037037037037035,0.2
14,ſo iſt wie vnß der mittenechtig wind genāt. Aquilo / Sy,so ist wie vnß der mittenechtig wind genãt. Aquilo / Sy,0.05454545454545454,0.2727272727272727
15,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,sind künſtrich mit viſchen vnd viſchfahen/ Vnd daſſelb,0.037037037037037035,0.25
16,mer iſt voͤllig vnd von vil viſchen vnnd von allen vnd al¬,mer iſt völlig vnd von vil viſchen vnnd von allen vnd al,0.05172413793103448,0.16666666666666666
17,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,lerley vischen überflüssig / Sa synd nit ieger vn̄ ich mein,0.10344827586206896,0.5
18,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſund̓,so da ſynd vil wilder waldthieren geſchlecht vnd beſund,0.03571428571428571,0.2222222222222222
19,lowen vnd beren vnd on zall vil ſchlangen vnd anderer,lowen vnd beren vnd onzall vil schlangen vnnd anderer,0.05660377358490566,0.4
20,gruſelichen vnd vngeſtalten dieren/ Dar zu vnd als an,gruselichen vnd vngestalten dieren / Sar zu vnd als an,0.07547169811320754,0.5555555555555556
21,denen enden lang vnd breyt weld vnnd baum über alle,denen enden lang vnd breyt vnnd Baum über alle,0.11764705882352941,0.2
22,maß groß vnd ſo ſy nackend ſynd gethuͤren ſy ſich ſolich,maß groß vnd so sy nackend synd gethüren sy sich solich,0.14285714285714285,0.6363636363636364
23,er dingen nit vnder ſtan on waffen/ Das ertrich diſer,er dingen nit vnder stan on waffen/ Das ertrich diser,0.03773584905660377,0.2
24,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,landen vnnd region ist fast fruchtbar vnd lustiger an¬,0.05555555555555555,0.3333333333333333
25,ſehung vnd von vil bergen vnd Buͦhelen vnd on zall vil,ſehung vnd von vil bergen vnd Buͤhelen vnd onzall vil,0.037037037037037035,0.2727272727272727
26,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,Theler vnnd mit fast grossen fliessenden wasseren/ über,0.12727272727272726,0.5
27,flüſſig/ Und von guͦten heylſamē brunnen gefuchtet vn̄,flüssig / Und von guͤten heylsame Brunnen gefuchtet vn̄,0.12962962962962962,0.625
28,mit groſſen breytten welden vnnd dick die kum̄ vnnd,mit grossen breytten welden vnnd dick die kun̄ vnnd,0.058823529411764705,0.2222222222222222
29,ſchwarlich moͤgen durchgangen werden vnnd die von,schwarlich moͤgen durchgangen werden vnnd die von,0.02040816326530612,0.14285714285714285
30,allerley willden thyeren vnderſcheid voll vnd überſetzt/,allerley wilden thyeren vnderscheid voll vnd übersetzt ,0.07142857142857142,0.42857142857142855
31,Da wachßen ſelbs on alle der lüten zuͦthon vnd arbeytt,Da wachsen selbs on alle der lüten zuͤthon vnd arbeytt,0.05555555555555555,0.3
32,die aller groͤſten boum/ Und vnder den ſelben vil die frü,die aller gröͤsten boum/ Und vnder den selben vil die frü,0.05263157894736842,0.18181818181818182
