line_number,ground_truth,transcription,cer,wer,document_id,method
1,Alberics Ueſpuccius Laurentio,Albericus Wespuccius Laurentio,0.10344827586206896,0.6666666666666666,7474185,transkribus
2,Petri Franciſci de Medicis vil gruͦß.,Petri Francisci de Medicis vil gruͤß.,0.05405405405405406,0.3333333333333333,7474185,transkribus
3,N vergangnen tagē hab ich dir ebē wit geſchri¬,N vergangnen tagen hab ich dir eben wit geschri¬,0.10869565217391304,0.3333333333333333,7474185,transkribus
4,ben von miner widerfart von den nüwen lant¬,ben von miner widerfart von den nuwen lant,0.046511627906976744,0.25,7474185,transkribus
5,ſchafften die ich mit Claſſen verſambneter ſchif,schafften die ich mit Classen versambneter schif-,0.125,0.5714285714285714,7474185,transkribus
6,fen mit ſchwerem koſten von gebot des Durchlichtigo¬,fen mit schwerem kosten von gebot des Durchlichtigo¬,0.038461538461538464,0.25,7474185,transkribus
7,ſten Künigs von portigal durchſuͦcht haben vnd fundē,sten Rünigs von portigal durchsuͤcht haben vnd funten,0.1346153846153846,0.5,7474185,transkribus
8,Die man mag die Nuwen welt nennen/ So by vnſern̄,"Sie man mag die Nuwen welt nennen, So by vnsern",0.08333333333333333,0.3,7474185,transkribus
9,vorfarn̄ vettern̄ dauon keyn wiſſen geweſen/ vnd allen dē,vorfarn vettern dauon keyn wissen gewesen / vnd allen,0.15789473684210525,0.6666666666666666,7474185,transkribus
10,die ſolichs hoͤren eyn aller ding nuws ſy/ Sunder ouch,"die solichs hoͤren eyn aller ding nuws sy, Sunder ouch",0.05555555555555555,0.2,7474185,transkribus
11,das alle wenung vnßer eltern über trüfft ſo doch der mer,das alle wenung vnßer eltern über trúfft so doch der mer,0.03571428571428571,0.18181818181818182,7474185,transkribus
12,teyl der ſelben ſpricht/ das über die glichmitnechtige ly¬,"teyl der selben spricht, das über die glichmitnechtige ly¬",0.05172413793103448,0.2222222222222222,7474185,transkribus
13,nien genant Equinoctialis. vn̄ gegē mittag keyn wonūg,nien genant Equinoctialis. vn̄ gegen mittag keyn wonnge,0.07547169811320754,0.25,7474185,transkribus
14,d̓ litten ſunder alleyn dz groſ mer inhaltē/ Das ſy nennē,s litten suͤnder alleyn ꝺzgros mer inhalten / Das sy nenne,0.21052631578947367,0.7272727272727273,7474185,transkribus
15,das Attlandiſch mer/ Und ob yemand der ſelbē wonun,das Attlandisch mer/ Und ob yemand der selbe wonun,0.06,0.2222222222222222,7474185,transkribus
16,gen daſelbs ſyn geredt ſo habē ſy doch vß vil ſachen das,gen daselbs syn geredt so habem sy doch vß vil sachen das,0.125,0.5,7474185,transkribus
17,da wonhafftig land vnd ertrich ſy widerredt/ Aber dz ſo,"da wonhafftig land vnd ertrich sy widerredt, Aber dz so",0.05454545454545454,0.3,7474185,transkribus
18,lich ir wenen falſch vn̄ der worheit widerig ſy in alle weg,lich ir wenen falsch vn der worheit widerig sy in alle weg,0.05084745762711865,0.25,7474185,transkribus
19,hat diß mindeſte ſchiffung bewyßt/ So ich in den ſelben,"hat diß min leste schiffung bewyft, So ich in den selben",0.12727272727272726,0.5,7474185,transkribus
20,gegnūgen gegen mittag menſchliche inwonung funden,gegnugen gegen mittag menschliche inwonung funden,0.04081632653061224,0.3333333333333333,7474185,transkribus
21,hab mit vil volcks vnd vil thieren bewert/ den̄ vnſer euro,hab mit vil volcks vnd vil thieren bewert / den vnser euro,0.05172413793103448,0.36363636363636365,7474185,transkribus
22,pa oder Aſiam oder Affricam/ vnnd ſo vil me geſunden,"pa oder Asiam oder Affricam, vnnd so vil me gesunden",0.07692307692307693,0.4,7474185,transkribus
23,temperierten lufft ſchon vnd luter me vnd luſtiger denn,temperierten lufft schon vnd luter me vnd lustiger denn,0.03636363636363636,0.2222222222222222,7474185,transkribus
24,in eynicher andern lantſchafft die wir wiſſen/ Als du har,in eynicher andern lantschafft die wir wissen/ Als du har,0.05263157894736842,0.2,7474185,transkribus
25,nach ſehen vnd verſtan würſt ſo ich kurtz die obern̄ ding,nach sehen vnd verstan würst so ich kurtz die obern̄ ding,0.07017543859649122,0.36363636363636365,7474185,transkribus
26,beſchriben vnd die ding ſo vermerckens vnd gedechtniß,beschriben vnd die ding so vermerckens vnd gedechtniß,0.03773584905660377,0.25,7474185,transkribus
27,aller würdigeſt vn̄ von mir geſehen oder gehoͤrt in dißer,aller würdigest vn von mir gesehen oder gehort in dißer,0.07017543859649122,0.4,7474185,transkribus
28,nüwen welt ſind/ Als harnach gezeygt würt.,nuwen welt sind/ Als harnach gezeygt würt-,0.07142857142857142,0.42857142857142855,7474185,transkribus
